[RUN] id=20260213_230032 epochs=20 emb_dim=512 verif_interval=5000
[RUN] train_log_interval=1000 num_classes=85742
[RUN] train_log=logs/train/train_20260213_230032.log test_log=logs/test/test_20260213_230032.log
[RUN] torchao_int8=True
step=274000 epoch=10 loss=10.9460 acc=0.966237 lr=0.0009
step=275000 epoch=10 loss=10.9760 acc=0.965950 lr=0.0009
step=276000 epoch=10 loss=11.0017 acc=0.965673 lr=0.0009
step=277000 epoch=10 loss=11.0399 acc=0.965258 lr=0.0009
step=278000 epoch=10 loss=11.0635 acc=0.965077 lr=0.0009
step=279000 epoch=10 loss=11.0992 acc=0.964705 lr=0.0009
step=280000 epoch=10 loss=11.1235 acc=0.964565 lr=0.0009
step=281000 epoch=10 loss=11.1506 acc=0.964318 lr=0.0009
step=282000 epoch=10 loss=11.1692 acc=0.964190 lr=0.0009
step=283000 epoch=10 loss=11.1925 acc=0.964031 lr=0.0009
step=284000 epoch=10 loss=11.2120 acc=0.963858 lr=0.0009
step=285000 epoch=10 loss=11.2256 acc=0.963736 lr=0.0009
step=286000 epoch=10 loss=11.2425 acc=0.963593 lr=0.0009
step=287000 epoch=10 loss=11.2598 acc=0.963464 lr=0.0009
step=288000 epoch=10 loss=11.2722 acc=0.963313 lr=0.0009
step=289000 epoch=10 loss=11.2865 acc=0.963232 lr=0.0009
step=290000 epoch=10 loss=11.3016 acc=0.963094 lr=0.0009
step=291000 epoch=10 loss=11.3141 acc=0.962980 lr=0.0009
step=292000 epoch=10 loss=11.3254 acc=0.962902 lr=0.0009
step=293000 epoch=10 loss=11.3371 acc=0.962783 lr=0.0009
step=294000 epoch=10 loss=11.3478 acc=0.962673 lr=0.0009
step=295000 epoch=10 loss=11.3578 acc=0.962554 lr=0.0009
step=296000 epoch=10 loss=11.3672 acc=0.962496 lr=0.0009
step=297000 epoch=10 loss=11.3774 acc=0.962388 lr=0.0009
step=298000 epoch=10 loss=11.3851 acc=0.962300 lr=0.0009
step=299000 epoch=10 loss=11.3927 acc=0.962231 lr=0.0009
step=300000 epoch=10 loss=11.4001 acc=0.962159 lr=0.0009
step=301000 epoch=10 loss=11.4078 acc=0.962068 lr=0.0009
step=302000 epoch=10 loss=11.4140 acc=0.961994 lr=0.0009
step=303000 epoch=10 loss=11.4203 acc=0.961929 lr=0.0009
epoch=10 train_loss=11.4218 train_acc=0.961898 epoch_time=2840.7s ETA=07:53:27
step=304000 epoch=11 loss=10.7360 acc=0.964683 lr=0.00027
step=305000 epoch=11 loss=10.6856 acc=0.965179 lr=0.00027
step=306000 epoch=11 loss=10.6759 acc=0.965226 lr=0.00027
step=307000 epoch=11 loss=10.6714 acc=0.965138 lr=0.00027
step=308000 epoch=11 loss=10.6768 acc=0.965122 lr=0.00027
